panel,kategori,atribut,atribut_idx,importance,performance,gap,kuadran
Teller,Teller,Menunjukkan keinginan untuk membantu nasabah (selalu menanya,13,5.88,5.48,-0.399,Keep Up
Teller,Teller,Teller memperkenalkan diri/menyebut namanya saat menyambut n,14,5.869,5.388,-0.481,Keep Up
Teller,Teller,Memberikan pelayanan dengan pendekatan personal (menyebut na,15,5.874,5.409,-0.465,Keep Up
Teller,Teller,Tellernya selalu melakukan validas setelah selesai transaksi,16,5.884,5.456,-0.429,Keep Up
Teller,Teller,Memberikan usaha lebih/extra effort untuk nasabahnya (memban,17,5.866,5.367,-0.499,Possible Overkill
Teller,Teller,Terdapat papan nama Teller di area meja kerja Teller - XYZ,18,5.883,5.53,-0.353,Keep Up
Teller,Teller,Terdapat informasi/signage transaksi di meja kerja teller - ,19,5.868,5.445,-0.423,Keep Up
Teller,Customer Service,CS ramah selama melayani (tersenyum dan tidak jutek selama m,1,5.917,5.309,-0.608,Quick Win
Teller,Customer Service,Jumlah Customer Service yang melayani cukup pada saat jam si,2,5.807,5.147,-0.66,Low Priority
Teller,Customer Service,Mengetahui pengetahuan yang baik tentang produk perbankan  -,3,5.895,5.309,-0.586,Quick Win
Teller,Customer Service,Memberikan solusi yang tepat terhadap permasalahan nasabah  ,4,5.901,5.294,-0.606,Quick Win
Teller,Customer Service,Cepat dalam memberikan layanan - XYZ,5,5.878,5.221,-0.658,Quick Win
Teller,Customer Service,Teliti dalam memberikan layanan - XYZ,6,5.895,5.368,-0.527,Keep Up
Teller,Customer Service,Waktu antrian di CS cepat - XYZ,7,5.829,5.118,-0.711,Low Priority
Teller,Customer Service,CS memiliki kehandalan sistem komputer di meja CS (online) -,8,5.895,5.338,-0.557,Quick Win
Teller,Customer Service,CS memiliki pengetahuan dalam menjawab pertanyaan nasabah at,9,5.895,5.324,-0.571,Quick Win
Teller,Customer Service,CS memiliki pemahaman terhadap permintaan/permasalahan nasab,10,5.884,5.324,-0.56,Quick Win
Teller,Customer Service,"CS memberikan edukasi tentang penggunaan e-channel (ATM, Mob",11,5.867,5.309,-0.559,Quick Win
Teller,Customer Service,CS menjelaskan proses pembukaan rekening baru dengan e-form ,12,5.906,5.426,-0.48,Keep Up
Teller,Customer Service,Memberikan informasi yang lengkap dan akurat - XYZ,13,5.906,5.353,-0.553,Keep Up
Teller,Customer Service,Tidak mengobrol dengan rekan kerja  - XYZ,14,5.928,5.324,-0.605,Quick Win
Teller,Customer Service,CS berpenampilan rapi dan menarik  - XYZ,15,5.895,5.426,-0.469,Keep Up
Teller,Customer Service,Menunjukkan keinginan untuk membantu nasabah - XYZ,16,5.884,5.25,-0.634,Quick Win
Teller,Customer Service,Memberikan pelayanan dengan pendekatan personal (menyebut na,17,5.867,5.309,-0.559,Quick Win
